"orderfield","Summary_sp","Year","TRIP_ID","Common_Name","Scientific_Name","Total_Count","Total_weight","SABLE_SET_TYPE"
5,"Roundfish Species",2020,85690,"Sablefish","ANOPLOPOMA FIMBRIA",,92169,"StRS"
5,"Roundfish Species",2020,85690,"Lingcod","OPHIODON ELONGATUS",,1522,"StRS"
5,"Roundfish Species",2020,85690,"Spiny dogfish","SQUALUS ACANTHIAS",,1122,"StRS"
5,"Roundfish Species",2020,85690,"Pectoral rattail","ALBATROSSIA PECTORALIS",,219,"StRS"
5,"Roundfish Species",2020,85690,"Pacific grenadier","CORYPHAENOIDES ACROLEPIS",,201,"StRS"
5,"Roundfish Species",2020,85690,"Pacific cod","GADUS MACROCEPHALUS",,6,"StRS"
5,"Roundfish Species",2020,85690,"Pacific flatnose","ANTIMORA MICROLEPIS",,2,"StRS"
5,"Roundfish Species",2020,85690,"Walleye pollock","THERAGRA CHALCOGRAMMA",,1,"StRS"
5,"Roundfish Species",2020,85690,"Pink snailfish","PARALIPARIS ROSACEUS",,1,"StRS"
5,"Roundfish Species",2020,85690,"Pacific viperfish","CHAULIODUS MACOUNI",1,,"StRS"
4,"Rockfish Species",2020,85690,"Yelloweye rockfish","SEBASTES RUBERRIMUS",,303,"StRS"
4,"Rockfish Species",2020,85690,"Redbanded rockfish","SEBASTES BABCOCKI",,288,"StRS"
4,"Rockfish Species",2020,85690,"Rougheye/blackspotted rockfish complex","SEBASTES ALEUTIANUS",,222,"StRS"
4,"Rockfish Species",2020,85690,"Shortraker rockfish","SEBASTES BOREALIS",,65,"StRS"
4,"Rockfish Species",2020,85690,"Shortspine thornyhead","SEBASTOLOBUS ALASCANUS",,55,"StRS"
4,"Rockfish Species",2020,85690,"Rosethorn rockfish","SEBASTES HELVOMACULATUS",,4,"StRS"
4,"Rockfish Species",2020,85690,"Longspine thornyhead","SEBASTOLOBUS ALTIVELIS",2,,"StRS"
3,"Flatfish Species",2020,85690,"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",,1554,"StRS"
3,"Flatfish Species",2020,85690,"Arrowtooth flounder","ATHERESTHES STOMIAS",,287,"StRS"
3,"Flatfish Species",2020,85690,"Dover sole","MICROSTOMUS PACIFICUS",,11,"StRS"
3,"Flatfish Species",2020,85690,"Petrale sole","EOPSETTA JORDANI",,2,"StRS"
2,"Invertebrate Species",2020,85690,"Grooved Tanner Crab","CHIONOECETES TANNERI",,117,"StRS"
2,"Invertebrate Species",2020,85690,"Brown box crab","LOPHOLITHODES FORAMINATUS",,6,"StRS"
2,"Invertebrate Species",2020,85690,"Oregontriton","FUSITRITON OREGONENSIS",,6,"StRS"
2,"Invertebrate Species",2020,85690,,"ALLOCENTROTUS FRAGILIS",,3,"StRS"
2,"Invertebrate Species",2020,85690,,"PARALOMIS MULTISPINA",,3,"StRS"
2,"Invertebrate Species",2020,85690,"Red Queen Crab","LITHODES COUESI",,3,"StRS"
2,"Invertebrate Species",2020,85690,"Jellyfish","SCYPHOZOA",,2,"StRS"
2,"Invertebrate Species",2020,85690,"Octopus","OCTOPUS",,2,"StRS"
2,"Invertebrate Species",2020,85690,"Fish-eating star","STYLASTERIAS FORRERI",,1,"StRS"
2,"Invertebrate Species",2020,85690,"Prawn","PANDALUS PLATYCEROS",,1,"StRS"
2,"Invertebrate Species",2020,85690,"Sea whip","OSTEOCELLA SEPTENTRIONALIS",1,,"StRS"
2,"Invertebrate Species",2020,85690,"Golden king crab","LITHODES AEQUISPINA",1,,"StRS"
2,"Invertebrate Species",2020,85690,"Papillose sea cucumber","SYNALLACTES CHALLENGERI",1,,"StRS"
2,"Invertebrate Species",2020,85690,"Ophiuroidea","OPHIUROIDEA",1,,"StRS"
2,"Invertebrate Species",2020,85690,,"PYROSOMA",1,,"StRS"
2,"Invertebrate Species",2020,85690,,"SOLASTER",1,,"StRS"
2,"Invertebrate Species",2020,85690,,"TARSASTER ALASCANUS",1,,"StRS"
2,"Invertebrate Species",2020,85690,,"HETEROZONIAS ALTERNATUS",1,,"StRS"
2,"Invertebrate Species",2020,85690,,"MEDIASTER TENELLUS",1,,"StRS"
2,"Invertebrate Species",2020,85690,,"MYXODERMA SACCULATUM",1,,"StRS"
