"Year","Dates","Vessel","Captain","Set Count","GFBIO Trip"
1988,"Oct 28  - Nov 24 ","VICIOUS FISHER","VANCE FLETCHER",16,43990
1989,"Oct 19  - Nov 18 ","LA PORSCHE","SIGURD BRYNJOLFSON",29,43910
1990,"Nov  8  - Nov 18 ","VIKING STAR","DOUG FARRINGTON",24,43750
1991,"Oct  9  - Oct 29 ","W. E. RICKER","ALAN FARRINGTON",32,43673
1992,"Oct 13  - Nov  4 ","W. E. RICKER","RON ROBERTS",38,43670
1993,"Oct 19  - Nov 11 ","W. E. RICKER","ALAN FARRINGTON",42,43650
1994,"Oct 13  - Oct 31 ","LA PORSCHE","RICHARD BEAUVAIS",39,43630
1994,"Oct 18  - Nov 13 ","WESTERN VIKING","RICK JONES",27,43390
1995,"Oct  8  - Oct 20 ","OCEAN PEARL","ROBERT FRAUMENI",29,43270
1995,"Oct 11  - Oct 28 ","VICTOR F","MICHAEL DERRY",34,43330
1995,"Oct  1  - Oct 31 ","VIKING SUNRISE","JASON OLSEN",40,43350
1996,"Sep 26  - Oct 10 ","OCEAN PEARL","MICHAEL DERRY",32,43039
1996,"Sep 30  - Oct 22 ","VIKING STAR","OTTO ELVAN",49,43210
1996,"May 10  - May 30 ","VIKING SUNRISE","ALBERT (DEACON) MELNYCHUK",42,43024
1997,"Sep 26  - Oct 21 ","OCEAN PEARL","MICHAEL DERRY",74,42699
1997,"May 20  - Jun 10 ","VIKING SUNRISE","ALBERT (DEACON) MELNYCHUK",42,42760
1998,"Sep 22  - Oct 17 ","OCEAN PEARL","MICHAEL DERRY",89,41122
1999,"Sep 29  - Oct 30 ","OCEAN PEARL","MICHAEL DERRY",109,40589
2000,"Oct  8  - Nov 14 ","PACIFIC VIKING","ALBERT (DEACON) MELNYCHUK",131,40517
2001,"Oct  6  - Nov  6 ","OCEAN PEARL","MICHAEL DERRY",134,43233
2002,"Oct  4  - Nov  7 ","PACIFIC VIKING","ALBERT (DEACON) MELNYCHUK",125,48120
2002,"Oct  5  - Nov 13 ","VIKING SUNRISE","JASON OLSEN",90,48110
2003,"Oct 15  - Nov 13 ","OCEAN PEARL","MICHAEL DERRY",94,52100
2003,"Oct  7  - Nov 10 ","VIKING STAR","JIM FARRINGTON",84,52120
2004,"Oct  5  - Nov 15 ","MILBANKE SOUND","DON QUAST",95,58145
2004,"Oct  5  - Nov  3 ","OCEAN MARAUDER","ALBERT (DEACON) MELNYCHUK",84,57360
2005,"Oct  4  - Nov  2 ","PACIFIC VIKING","ALBERT (DEACON) MELNYCHUK",84,60529
2005,"Oct  7  - Nov 17 ","VIKING SUNRISE","RORY JOHNSON",88,60503
2006,"Oct  1  - Nov  1 ","PACIFIC VIKING","ALBERT (DEACON) MELNYCHUK",98,62966
2006,"Oct  2  - Nov 15 ","SENA II","TIM JOYS",98,62666
2007,"Oct  7  - Nov 12 ","PACIFIC VIKING","ALBERT (DEACON) MELNYCHUK",99,65106
2007,"Oct  8  - Nov 12 ","VIKING TIDE","JASON OLSEN",91,65107
2008,"Sep 29  - Nov 16 ","OCEAN PEARL","ROBERT FRAUMENI",157,67007
2009,"Oct  8  - Nov 25 ","OCEAN PEARL","ROBERT FRAUMENI",155,69067
2010,"Oct  9  - Nov 30 ","OCEAN PEARL","ROBERT FRAUMENI",153,70787
2011,"Oct  9  - Nov 21 ","OCEAN PEARL","DARCY NICHOLS",132,72067
2012,"Oct  9  - Nov 17 ","OCEAN PEARL","DARCY NICHOLS",135,73190
2013,"Oct 11  - Nov 17 ","PACIFIC VIKING","ALBERT (DEACON) MELNYCHUK",111,74872
2014,"Oct  9  - Nov 17 ","OCEAN PEARL","DARCY NICHOLS",111,76150
2015,"Oct  9  - Nov 20 ","PACIFIC VIKING","ALBERT (DEACON) MELNYCHUK",111,77830
2016,"Oct  7  - Nov 22 ","OCEAN PEARL","DARCY NICHOLS",111,80471
2017,"Oct  6  - Nov 21 ","PACIFIC VIKING","ALBERT (DEACON) MELNYCHUK",109,82790
2018,"Oct  9  - Nov 19 ","OCEAN PEARL","DARCY NICHOLS",111,84250
2019,"Oct  8  - Nov 25 ","PACIFIC VIKING","ALBERT (DEACON) MELNYCHUK",109,85230
2020,"Oct  7  - Nov 21 ","PACIFIC VIKING","ALBERT (DEACON) MELNYCHUK",87,85690
