"spatial_stratum","set","set_type","depth_stratum","date","time","duration","MAJOR","latdb","latmb","londb","lonmb","latde","latme","londe","lonme","begin_depth","end_depth","mean","TRAPS_FISHED","sbe 39","hobo","ctd","cam"
"S1",1,"StRS","RD1","Oct  9 ","08:04",1334,"3C        ",48,7,125,53,48,6.4,125,53.2,405,468,433,25,"x",,,
"S1",2,"StRS","RD3","Oct  9 ","10:31",1398,"3C        ",48,7.7,126,7.9,48,7.5,126,8.9,904,973,898,25,"x",,,
"S1",3,"StRS","RD3","Oct  9 ","12:07",1421,"3C        ",48,8.8,126,13.9,48,8.8,126,14.9,1086,1092,1110,25,"x",,,
"S1",4,"StRS","RD2","Oct  9 ","13:54",1429,"3C        ",48,3.2,126,10.1,48,3.8,126,10.6,477,495,477,25,"x",,,
"S1",5,"StRS","RD1","Oct  9 ","15:30",1479,"3C        ",48,8.8,126,10.5,48,8.8,126,11.5,336,390,356,25,"x",,,
"S1",6,"StRS","RD3","Oct  9 ","17:28",1534,"3C        ",48,1.4,126,21.3,48,1.5,126,22.3,982,1169,1075,25,"x",,,
"S1",7,"StRS","RD1","Oct  9 ","19:37",1537,"3C        ",48,4,126,9,48,3.7,126,9.8,188,232,207,25,"x",,,
"S1",8,"StRS","RD3","Oct 11 ","08:19",1317,"3C        ",48,2.3,126,43.9,48,2.4,126,45,1324,1330,1331,25,"x",,,
"S1",9,"StRS","RD2","Oct 11 ","10:28",1330,"3C        ",48,5.4,126,33.8,48,5.4,126,34.9,629,690,675,25,"x",,,
"S1",10,"StRS","RD1","Oct 11 ","12:02",1330,"3C        ",48,7.6,126,29.3,48,7.6,126,30.3,261,269,265,25,"x",,,
"S1",11,"StRS","RD2","Oct 11 ","13:17",1378,"3C        ",48,8.6,126,37.3,48,8.7,126,38.3,499,559,526,25,"x",,,
"S1",12,"StRS","RD3","Oct 11 ","15:52",1403,"3C        ",48,5.2,126,51.4,48,5.1,126,52.3,941,930,935,25,"x",,,
"S1",13,"StRS","RD2","Oct 11 ","17:16",1422,"3C        ",48,8.7,126,48.4,48,8.8,126,49.4,524,574,547,25,"x",,,
"S1",14,"StRS","RD1","Oct 11 ","19:06",1442,"3C        ",48,7.8,126,43.1,48,7.9,126,44,410,430,420,25,"x",,,
"S1",15,"StRS","RD2","Oct 14 ","07:04",1329,"3C        ",48,9.7,126,51.5,48,9.7,126,52.6,572,614,591,25,"x",,,
"S1",16,"StRS","RD2","Oct 14 ","08:24",1372,"3D        ",49,0.9,126,54.7,49,0.8,126,55.8,603,675,640,25,"x",,,
"S1",17,"StRS","RD2","Oct 14 ","10:28",1387,"3D        ",49,0.6,127,2.4,49,0.5,127,3.4,625,673,647,25,"x",,,
"S1",18,"StRS","RD1","Oct 14 ","12:09",1365,"3D        ",49,0.8,127,0.7,49,0.3,127,1.6,435,436,433,25,"x",,,
"S1",19,"StRS","RD2","Oct 14 ","13:49",1394,"3D        ",49,1.2,127,5.6,49,1.1,127,6.4,572,643,607,25,"x",,,
"S2",20,"StRS","RD1","Oct 14 ","15:41",1402,"3D        ",49,8.5,127,10.8,49,8.6,127,11.8,329,437,367,25,"x",,,
"S2",21,"StRS","RD3","Oct 14 ","18:16",1402,"3D        ",49,6.6,127,23,49,6.5,127,24,1022,1070,1058,25,"x",,,
"S2",22,"StRS","RD2","Oct 14 ","19:48",1420,"3D        ",49,1,127,17.9,49,0.8,127,19,649,832,720,25,"x",,,
"S2",23,"StRS","RD1","Oct 16 ","07:05",1328,"3D        ",49,3.9,127,17,49,4.1,127,17.9,447,438,423,25,"x",,,
"S2",24,"StRS","RD2","Oct 17 ","07:49",1331,"3D        ",49,1.4,127,31,49,1,127,31.7,629,609,629,25,"x",,,
"S2",25,"StRS","RD2","Oct 17 ","09:22",1345,"3D        ",49,1.7,127,37.7,49,1.7,127,38.7,617,666,641,25,"x",,,
"S2",26,"StRS","RD2","Oct 17 ","11:41",1346,"3D        ",49,0.3,127,46.2,49,0.5,127,47.1,580,712,666,25,"x",,,
"S2",27,"StRS","RD3","Oct 17 ","13:11",1373,"3D        ",49,1,127,55.9,49,1,127,57,822,881,848,25,"x",,,
"S2",28,"StRS","RD2","Oct 17 ","14:53",1384,"3D        ",49,4.7,127,59,49,4.6,128,0.2,690,766,742,25,"x",,,
"S2",29,"StRS","RD2","Oct 17 ","17:04",1344,"3D        ",49,5.9,127,59.6,49,5.9,128,0.8,529,520,528,25,"x",,,
"S2",30,"StRS","RD3","Oct 17 ","18:42",1387,"3D        ",50,0.3,128,4.4,50,0.2,128,5.5,1355,1229,1317,25,"x",,,
"S2",31,"StRS","RD2","Oct 19 ","07:01",1328,"3D        ",49,9.1,127,52.9,49,9,127,53.8,587,703,601,25,"x",,,
"S2",32,"StRS","RD3","Oct 19 ","11:42",1333,"3D        ",50,3.2,128,18.6,50,2.5,128,19.2,997,964,988,25,"x",,,
"S2",33,"StRS","RD3","Oct 19 ","13:43",1349,"3D        ",50,2,128,32.6,50,1.8,128,33.6,1037,1048,1021,25,"x",,,
"S2",34,"StRS","RD1","Oct 19 ","16:16",1341,"3D        ",50,9.2,128,15.3,50,8.4,128,15.4,248,425,370,25,"x",,,
"S2",35,"StRS","RD1","Oct 19 ","19:29",1408,"5A        ",50,2.7,128,34.3,50,2.7,128,35.3,192,197,195,25,"x",,,
"S2",36,"StRS","RD1","Oct 19 ","20:31",1472,"5A        ",50,4.9,128,36.4,50,4.9,128,37.4,195,203,200,25,"x",,,
"S2",37,"StRS","RD1","Oct 19 ","21:30",1518,"5A        ",50,3.6,128,39.5,50,2.9,128,39.8,222,598,358,25,"x",,,
"S3",38,"StRS","RD3","Oct 21 ","05:53",1332,"5A        ",50,7.7,129,27.7,50,7.1,129,27.2,779,1140,928,25,"x",,,
"S3",39,"StRS","RD1","Oct 21 ","07:22",1334,"5A        ",50,8.9,129,23.7,50,8.9,129,24.7,208,230,221,25,"x",,,
"S3",40,"StRS","RD1","Oct 21 ","09:04",1325,"5A        ",50,1.1,129,25.7,50,1.1,129,26.8,195,209,199,25,"x",,,
"S3",41,"StRS","RD3","Oct 21 ","11:49",1344,"5A        ",50,9.3,129,42,50,8.9,129,42.8,785,890,880,25,"x",,,
"S3",42,"StRS","RD2","Oct 21 ","13:18",1347,"5A        ",51,0.9,129,35.2,51,0,129,36.2,543,586,538,25,"x",,,
"S3",43,"StRS","RD1","Oct 24 ","08:19",1330,"5A        ",51,2.8,129,32.4,51,2.7,129,33.3,290,290,290,25,"x",,,
"S3",44,"StRS","RD1","Oct 24 ","09:46",1333,"5B        ",51,6.2,129,37.6,51,5.9,129,38.6,243,243,242,25,"x",,,
"S3",45,"StRS","RD2","Oct 24 ","12:04",1339,"5A        ",51,0.3,129,55.7,51,0.1,129,56.8,689,750,724,25,"x",,,
