"TRIP_ID","Set","Trap 1","Trap 2","Trap 3","Trap 4","Trap 5","Trap 6","Trap 7","Trap 8","Trap 9","Trap 10","Trap 11","Trap 12","Trap 13","Trap 14","Trap 15","Trap 16","Trap 17","Trap 18","Trap 19","Trap 20","Trap 21","Trap 22","Trap 23","Trap 24","Trap 25","Trap 26","Trap 27"
85690,1,"D,SD","A","T,F","D,SD","D,SD","T","D,SD","D,F","T,F","D,SD","D,F","D,SD","D,F","D,SD","D,SD","A","D,SD","D,SD","D,F","D,F","D,F","D,SD","D,SD","D,SD","D,SD",,
85690,2,"T","D,SD","A","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,F","D,SD","T","D,SD","A",,"D,SD","T","D,SD","D,SD","D,SD","D,SD",,
85690,3,"A","T","D,SD","A","T","D","A","T","D","A","T","D,SD","A","T","D,SD","D","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD",,
85690,4,"T","D,SD","A","T","D,SD","D,SD","D,SD","D,SD","D,F","D,SD","D,SD","D,SD","D,SD","T","A","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,
85690,5,"T,F","D,SD","A","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","T","D,SD","A","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,"D,SD",,
85690,6,"A,F","T","D,SD","A","T","D,SD","A","T","D,SD","A","T","D,SD","T,SD","T","D,SD","D,SD","T","D,SD","D,SD","T,F","D,SD","D,SD","T","D,SD","D,SD",,
85690,7,"T","D,SD",,"T","T,SD","A","T","D,SD","A","T",,"A","T","D","A","T",,"D,SD","T","D,SD","D",,,"D","T",,
85690,8,,,,,,"D",,,,,"T",,,,,,,,,,,"A",,,,,
85690,9,"D,SD","A","T","D,F","D,SD","T","D,SD","D,SD","T","D,SD","D,F","T","D,SD","A","D,SD","D,SD","D,F","D,SD","T,F","D,F","D,SD","D,SD","D,SD","D,F","D,F",,
85690,10,"T","D,SD","A","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","T","D,SD","A",,"D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,
85690,11,"D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","A","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,
85690,12,"A","T","D,SD","D,SD","D,SD","D,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","D,SD","T","D,SD","A,F","T","D,SD","D,SD","D,SD","T,SD","T,SD","D,SD","D,SD","D,SD",,
85690,13,"T","D,SD","A","D,SD","D,SD","D,SD","D,SD","D,SD","T,SD","D,SD","D,SD","D,SD","T","D,SD","A","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,
85690,14,"D,SD","A","T","D,SD","D,SD","D,SD","D,SD","D,SD","T,SD","D,SD","D,SD","D,SD","D,SD","A","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,
85690,15,"A","T","D,F","T,SD","D,SD","D,SD","D,SD","T","D,SD","T,SD","D,SD","D,SD","A","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,
85690,16,"D,SD","A","T,F","D,SD","D,F","T","D,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","A","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D","D,SD","D,SD",,
85690,17,"T","D,SD","A","T","D,SD","A","T","D,SD","A","T","D","A","T","D,SD",,"T","D,SD","D,SD","D,SD","D,SD","D,F","D,F","D,SD","D,SD","T,SD",,
85690,18,"T","D,F","A","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","T","D,SD","A","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,
85690,19,"T","D,SD","A","T","D,SD","D,SD","D,SD","D,SD",,"D,SD","D,SD",,"T","D,SD","D,SD","T","D,SD","A","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,
85690,20,"A","T","D,SD","D","T",,"D,SD","T","D","D,SD","D,SD","D,SD","A","T","D,SD","T,SD","T",,"D,SD","D,SD",,"A","D,SD","D,SD","D,SD",,
85690,21,"T","D",,"T","D,SD","T","T","D,SD","A",,"D,SD","A","T","D,SD","D,SD","T","D,SD","T,SD","T","D,SD","D,SD",,"D,SD","D",,,
85690,22,,"A","T","D,SD","A","T","D,SD","A","T","D,SD","A","T","T,SD","A","T","D,SD","D,SD","T","D,SD","D,SD",,"D,SD","D,SD","T","D,SD",,
85690,23,"D,SD","A","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","A","T","D,SD","T,SD","T","D","A","T","D,SD","D,SD","T","D,SD",,
85690,24,"A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","A","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,F",,
85690,25,"T","T,SD","A","D,SD","D,SD","D,SD",,"D,SD","D,SD","D,SD","D,SD","D,SD","T","D,SD","A","D,SD","D,SD",,"T","D,SD",,,"D,SD","D,SD","D,SD",,
85690,26,"T","D,SD","A","T","D,SD","A","T","D,F","D,SD","T","D,SD","D,SD","T","D,SD","A","T","D,SD","A","T","D,SD","A",,,"D,SD","T",,
85690,27,"T","D,SD","A","T","T,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,
