"SET","Total Weight(kg)","Total Count","Recovered Number","Recovered Dead Number","Released","Fork Len Tag Sample Count","Tagged Mean Fork Len(mm)","Fork Len Sample Count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","Weight Sample Count","Sample_count","Proportion Males","Male Mean Fork Len(mm)","Female Mean Fork Len(mm)"
1,3772,2305,0,0,163,162,554,72,49,49,49,49,72,0.43,536,569
2,932,454,1,0,126,127,575,48,48,48,48,48,48,0.46,541,589
3,748,287,0,0,91,91,619,43,43,43,43,43,43,0.19,568,636
4,2389,1355,0,0,156,155,554,50,50,50,50,50,50,0.4,557,583
5,2960,1625,0,0,116,116,556,48,41,41,41,41,48,0.51,541,583
6,917,372,2,0,115,117,617,44,46,46,46,46,47,0.17,599,615
7,573,214,1,0,97,98,606,45,45,45,45,45,46,0.07,580,627
8,20,6,0,0,1,1,601,1,1,1,1,1,1,0,0,745
9,1159,788,1,0,140,140,518,57,57,57,56,57,61,0.74,516,539
10,1970,1032,0,0,112,112,572,54,53,54,54,54,54,0.23,561,590
11,2192,1230,0,0,159,159,539,54,54,54,54,54,54,0.74,518,582
12,1545,717,2,0,121,123,602,50,49,49,49,49,50,0.45,535,596
13,2128,1283,2,0,127,129,535,50,50,50,50,49,50,0.5,526,566
14,2053,1160,1,0,113,114,545,61,61,61,61,61,61,0.39,543,573
15,1738,1155,2,0,144,146,528,57,57,57,57,57,57,0.63,509,514
16,1236,915,0,0,152,152,503,46,46,46,46,46,46,0.74,499,508
17,1011,642,0,0,115,115,524,58,57,57,56,57,58,0.7,511,550
18,2030,1033,0,0,124,124,563,54,54,54,54,54,54,0.39,545,579
19,1448,916,0,0,127,127,522,48,48,48,47,48,48,0.67,514,545
20,1390,566,1,0,135,136,600,52,52,52,52,52,52,0.37,573,623
21,772,294,2,0,66,68,624,48,48,48,48,48,48,0.42,569,629
22,480,244,1,0,72,73,568,55,55,55,55,55,55,0.69,558,631
23,977,403,1,0,120,121,596,47,47,47,47,47,47,0.45,586,607
24,807,400,0,0,131,131,566,48,48,48,47,48,48,0.73,571,616
25,1106,746,1,0,112,113,522,58,58,58,57,58,58,0.67,503,548
26,561,252,1,0,84,85,578,53,52,52,52,52,53,0.58,552,641
27,938,463,2,0,135,137,583,40,40,40,40,40,40,0.73,536,588
28,1131,633,0,0,135,135,548,45,45,45,45,45,45,0.6,531,580
29,1202,667,1,0,108,109,549,46,46,46,46,46,46,0.54,531,562
30,110,28,0,0,9,9,666,14,14,14,14,14,14,0,0,703
31,1183,476,2,0,125,127,605,52,52,52,52,52,52,0.58,588,665
32,664,244,1,0,64,65,619,55,55,55,55,55,55,0.33,594,637
33,243,92,1,0,22,23,612,19,19,19,19,19,19,0.53,544,642
34,2314,1033,0,0,147,147,588,51,46,46,46,46,51,0.17,584,613
35,738,297,0,0,100,100,615,52,50,50,49,50,52,0.08,569,610
36,1028,478,0,0,117,117,586,66,62,62,62,62,66,0.31,566,602
37,2092,928,0,0,115,115,594,47,47,47,47,47,47,0.3,576,617
38,308,84,0,0,33,33,677,26,26,26,26,26,26,0.19,571,733
39,20,9,0,0,1,1,537,6,6,6,6,6,6,0.17,602,635
40,9,3,0,0,1,1,641,1,0,0,0,0,1,0,0,0
41,539,152,0,0,56,56,667,53,53,53,53,53,53,0.45,638,701
42,1380,599,2,0,111,113,595,51,51,51,51,51,51,0.37,560,595
43,150,59,0,0,21,21,593,11,11,11,11,11,11,0.09,584,607
44,247,66,0,0,32,32,711,13,13,13,13,13,13,0,0,677
45,1208,646,3,0,139,142,567,51,51,51,51,51,51,0.86,545,564
46,1429,1031,2,0,119,121,512,49,49,49,49,49,49,0.63,513,579
47,1188,558,8,0,102,110,578,51,51,51,51,51,51,0.45,571,614
48,1102,557,0,0,114,114,570,52,52,52,52,52,57,0.46,552,591
49,1482,735,8,0,127,134,580,46,46,46,46,46,47,0.59,551,597
50,32,12,0,0,3,3,559,4,4,4,4,4,4,0,0,592
51,1350,674,1,0,122,123,563,58,58,58,58,58,63,0.59,549,565
52,39,13,0,0,1,1,573,10,10,10,10,10,10,0.4,674,643
53,1959,1128,0,0,139,139,548,56,56,56,56,56,56,0.45,525,558
54,2038,1233,0,0,119,119,559,67,47,47,44,47,67,0.49,519,567
55,1382,490,1,0,128,129,625,55,55,55,48,55,55,0.2,583,635
56,51,17,0,0,7,7,661,7,7,7,6,7,7,0,0,641
57,27,7,0,0,2,2,719,1,1,1,1,1,1,0,0,657
58,2123,1237,1,0,122,123,565,53,53,53,53,53,53,0.45,506,552
59,18,6,0,0,2,2,649,3,3,3,3,3,3,0,0,677
60,1370,840,1,0,151,152,543,49,49,49,49,49,49,0.55,546,571
61,264,120,2,0,28,30,575,44,44,44,44,44,44,0.45,558,648
62,184,87,0,0,27,27,590,29,29,29,29,29,29,0.79,563,595
63,323,113,0,0,56,56,641,35,35,35,35,35,35,0.29,612,658
64,64,24,0,0,10,10,647,6,6,6,6,6,6,0.17,652,641
65,1972,1100,2,1,140,143,552,60,60,60,60,60,61,0.47,523,566
66,773,459,0,0,139,139,543,44,44,44,44,44,44,0.64,547,577
67,1369,721,1,0,138,139,561,44,44,44,44,44,45,0.66,530,594
68,1173,654,1,0,134,135,559,52,52,52,52,52,52,0.33,532,568
69,1214,635,2,0,142,144,553,52,52,52,52,52,53,0.63,536,603
70,933,556,3,0,132,135,539,46,46,46,46,46,46,0.7,524,556
71,1388,695,0,0,110,110,557,49,49,49,49,49,49,0.57,526,570
72,1917,1111,1,0,130,131,551,61,61,61,61,61,61,0.48,552,558
73,773,398,9,0,109,118,576,53,53,53,53,53,53,0.62,558,592
74,1797,1035,0,0,118,118,570,46,46,46,46,46,46,0.54,542,610
75,67,25,0,0,7,7,626,11,11,11,11,11,11,0.36,548,631
76,24,9,0,0,4,4,645,4,2,2,2,2,4,0.5,530,625
77,1246,506,0,0,152,152,600,54,54,54,54,54,54,0.19,564,631
78,278,86,0,0,17,17,641,37,37,37,37,37,37,0.08,624,655
79,283,106,0,0,32,32,606,29,29,29,29,29,29,0.14,665,611
80,848,347,0,0,127,127,623,52,52,52,52,52,52,0.73,619,643
81,75,15,0,0,2,2,754,10,10,10,10,10,10,0.2,697,806
82,1667,924,0,0,126,126,543,50,50,50,50,50,50,0.58,561,592
83,776,281,0,0,71,71,621,46,46,46,46,46,46,0.26,593,650
84,1320,623,3,0,140,143,589,47,47,47,47,47,47,0.49,565,612
85,1415,648,0,0,137,137,579,49,49,49,49,49,49,0.39,570,591
86,1381,681,0,0,127,127,573,51,51,51,51,50,51,0.24,572,577
87,635,244,0,0,97,97,612,47,47,47,47,47,47,0.43,597,619
87,92167,48092,77,1,8200,8274,,3669,3603,3604,3587,3602,3691,,,
