"YEAR","SABLEFISH_SURVEY_IND","AvL","sex","SABLE_SET_TYPE","count"
2003,1,58.2780115102204,1,"StRS",5039
2004,1,59.7396262886598,1,"StRS",1552
2005,1,58.9754109138724,1,"StRS",1521
2006,1,59.3292486583184,1,"StRS",2236
2007,1,60.0816070599164,1,"StRS",2153
2008,1,60.8756495160469,1,"StRS",1963
2009,1,60.5920126116658,1,"StRS",1903
2010,1,59.4499759961594,1,"StRS",2083
2011,1,57.864734950584,1,"StRS",2226
2012,1,58.3634969325153,1,"StRS",2282
2013,1,58.803743315508,1,"StRS",1870
2014,1,57.4514443761524,1,"StRS",1627
2015,1,58.3199052132701,1,"StRS",1688
2016,1,58.0988436123348,1,"StRS",1816
2017,1,56.2792127921279,1,"StRS",1626
2018,1,56.9560276679842,1,"StRS",2024
2019,1,55.2332751599767,1,"StRS",1719
2020,1,54.8100238663484,1,"StRS",1676
2003,1,63.1250276365245,2,"StRS",4523
2004,1,66.5859465737515,2,"StRS",1722
2005,1,66.6128637951106,2,"StRS",1718
2006,1,67.4206533192834,2,"StRS",1898
2007,1,67.7985066371682,2,"StRS",1808
2008,1,70.2635431235431,2,"StRS",2145
2009,1,68.7498613678373,2,"StRS",2164
2010,1,67.2959490213928,2,"StRS",2197
2011,1,64.5078342749529,2,"StRS",2655
2012,1,65.3147254575707,2,"StRS",2404
2013,1,65.6761308950914,2,"StRS",2078
2014,1,66.1096153846154,2,"StRS",1820
2015,1,65.6640143737166,2,"StRS",1948
2016,1,63.8773768893223,2,"StRS",2051
2017,1,62.1045101842871,2,"StRS",2062
2018,1,62.5461278036394,2,"StRS",2363
2019,1,60.9687619777693,2,"StRS",2609
2020,1,60.4126233766234,2,"StRS",1925
