"Year","lat","depth","temperature","Sets"
2020,53,420.1,5,55
2020,53,529.4,4.5,71
2020,48,1096.6,3.3,3
2020,51,383.7,5.5,83
2020,53,574.6,4.5,65
2020,51,241.5,6.3,44
2020,48,264.3,6.9,10
2020,51,543.8,4.8,86
2020,48,535.5,5,13
2020,53,285.6,5.6,68
2020,51,939.7,3.4,47
2020,49,438.5,5.4,23
2020,49,371.8,6.1,20
2020,49,616.5,4.6,17
2020,52,718,4,51
2020,50,397.8,5.5,34
2020,52,962.5,3.5,61
2020,50,454.7,5.1,37
2020,52,744.5,3.9,58
2020,54,565.2,4.3,82
2020,50,204,6.4,40
2020,54,268.4,5.6,79
2020,53,1179.2,2.9,64
2020,51,287,6.2,43
2020,49,596,4.8,19
2020,53,709.9,4.1,67
2020,49,667.7,4.3,26
2020,50,950,3.4,38
2020,48,414,5.7,14
2020,51,495.8,5.1,85
2020,48,203.8,7,7
2020,53,664.1,4.1,74
2020,52,999.1,3.4,62
2020,49,530,4.6,29
2020,50,893.4,3.5,41
2020,48,428.3,5.6,1
2020,49,636.2,4.6,16
2020,48,477.3,5.2,4
2020,50,983.4,3.3,32
2020,52,1184.4,2.8,56
2020,50,198.3,6.5,35
2020,54,1005.1,3.3,80
2020,52,215.2,5.8,59
2020,54,343.6,5.4,77
2020,51,514,5.1,84
2020,52,638.1,4.1,53
2020,48,522.9,5,11
2020,51,652.9,4.1,46
2020,49,817.1,4,22
2020,49,636.4,4.4,25
2020,53,1171.2,3,63
2020,52,261.5,5.6,50
2020,48,356.6,6.2,5
2020,53,218.9,6.2,76
2020,48,1314.1,2.8,8
2020,51,913.3,3.4,49
2020,48,905.7,3.8,2
2020,49,574.8,4.5,31
2020,53,990.6,3.3,70
2020,53,1019.3,3.2,73
2020,49,765.7,3.9,28
2020,52,686.6,4,54
2020,48,1072.8,3.4,6
2020,50,999,3.3,33
2020,48,701.7,4.3,9
2020,51,520.3,4.7,42
2020,49,416.4,5.7,18
2020,53,294.5,5.7,75
2020,52,1294.8,2.6,57
2020,48,585.9,4.8,15
2020,51,336.6,5.5,48
2020,49,838,3.8,27
2020,50,204.1,6.6,36
2020,53,747,3.9,66
2020,51,748.8,3.9,45
2020,50,225.5,6.3,39
2020,54,262.5,5.6,78
2020,49,636.5,4.4,24
2020,53,555.9,4.4,69
2020,52,650.1,4.2,60
2020,53,609.4,4.3,72
2020,51,463.5,5.1,87
2020,48,918.2,3.6,12
2020,49,1054.4,3.4,21
2020,50,1333.4,2.7,30
