"Year","trip","Sets","Avgtemp","Mintemp","Maxtemp","depth_stratum","lat"
2017,82790,40,6.9888,6.8535,7.1327,"RD1       ",51
2018,84250,83,4.6664,4.3618,5.0488,"RD2       ",52
2020,85690,64,2.868,2.7583,3.0694,"RD3       ",53
2011,72067,69,2.946,2.7081,3.3329,"RD3       ",51
2016,80471,47,4.8401,3.7831,30.577,"RD2       ",51
2011,72067,58,6.1045,6.0828,6.1256,"RD1       ",51
2015,77830,15,5.6634,5.38,6.05,"RD1       ",48
2018,84250,97,3.7034,3.5231,3.8876,"RD3       ",53
2006,62666,87,4.2008,4.0344,4.4108,"RD2       ",54
2006,62666,46,6.483,6.4332,6.5353,"RD1       ",51
2009,69067,117,5.8548,5.7727,5.9765,"RD1       ",53
2015,77830,81,3.6776,3.54,3.8,"RD3       ",53
2007,65106,3,4.2042,4.1148,4.4041,"RD3       ",48
2018,84250,107,3.0895,2.9965,3.2144,"RD3       ",54
2015,77830,6,4.233,4.01,4.62,"RD2       ",48
2009,69067,84,5.986,5.5467,6.2485,"RD1       ",52
2012,73190,38,4.1302,3.8444,4.3387,"RD2       ",49
2013,74872,79,5.92,5.801,6.2999,"RD1       ",53
2018,84250,19,7.0766,7.0067,7.1862,"RD1       ",49
2016,80471,30,7.019,6.442,7.4553,"RD1       ",50
2012,73190,72,2.7599,2.6089,2.8684,"RD3       ",51
2011,72067,39,3.5036,3.319,3.7283,"RD3       ",50
2014,76150,48,3.7202,3.4169,3.9396,"RD3       ",51
2016,80471,17,5.3201,5.0549,5.7203,"RD2       ",49
2007,65106,9,5.062,4.9416,5.2545,"RD2       ",48
2020,85690,59,5.8225,5.4671,6.0154,"RD1       ",52
2016,80471,109,4.412,4.221,4.6648,"RD2       ",52
2009,69067,28,3.1278,3.0793,3.1478,"RD3       ",49
2014,76150,34,6.3717,5.9266,6.9989,"RD1       ",50
2006,62666,26,3.2908,3.1954,3.447,"RD3       ",49
2018,84250,73,6.519,6.0375,7.0329,"RD1       ",52
2011,72067,95,5.7372,5.399,6.1059,"RD1       ",53
2012,73190,45,4.7233,4.5117,5.1677,"RD2       ",50
2020,85690,33,3.3472,3.2436,3.4669,"RD3       ",50
2012,73190,115,5.6302,5.3704,5.689,"RD1       ",54
2009,69067,10,6.2719,5.8716,6.5819,"RD1       ",48
2009,69067,131,4.9899,4.6743,5.5862,"RD2       ",54
2006,62666,15,3.8618,3.7771,3.9438,"RD3       ",48
2011,72067,36,2.8403,2.6872,3.0625,"RD3       ",50
2011,72067,62,3.7398,3.571,4.0048,"RD2       ",51
2016,80471,1,5.2468,4.8529,5.7894,"RD2       ",48
2015,77830,64,3.1028,2.97,3.3,"RD3       ",52
2009,69067,101,2.84,2.7564,2.901,"RD3       ",52
2011,72067,89,3.9472,3.8411,4.1389,"RD2       ",53
2017,82790,50,3.2832,3.1968,3.3956,"RD3       ",51
2020,85690,84,5.1131,4.6834,5.4916,"RD2       ",51
2020,85690,18,5.6567,5.524,5.8092,"RD1       ",49
2017,82790,22,6.8634,6.7865,7.0095,"RD1       ",49
2006,62666,69,6.4013,6.0802,6.687,"RD1       ",52
2019,85230,72,4.2533,4.0737,4.4786,"RD2       ",53
2008,67007,93,4.0561,3.6996,4.3444,"RD2       ",52
2012,73190,18,3.0473,2.963,3.0919,"RD3       ",48
2010,70787,48,6.339,6.2654,12.2325,"RD1       ",50
2018,84250,3,4.6705,4.4819,4.9875,"RD2       ",48
2013,74872,25,4.3713,4.1869,4.5506,"RD2       ",49
2016,80471,90,7.2958,7.0862,7.5114,"RD1       ",53
2011,72067,15,3.4579,3.3753,3.6022,"RD3       ",48
2010,70787,121,4.8124,4.6308,4.9752,"RD2       ",53
