"Year","Age","Male_Proportion","Female_Proportion","Male_Yr_Total","Female_Yr_Total","m","f","SetType"
2003,2,0.011527,0.006896,347,290,0,0,"StRS"
2003,3,0.112391,0.203448,347,290,1,1,"StRS"
2003,4,0.089337,0.137931,347,290,0,0,"StRS"
2003,5,0.100864,0.117241,347,290,0,0,"StRS"
2003,6,0.057636,0.086206,347,290,0,0,"StRS"
2003,7,0.051873,0.068965,347,290,0,0,"StRS"
2003,8,0.034582,0.041379,347,290,0,0,"StRS"
2003,9,0.034582,0.034482,347,290,0,0,"StRS"
2003,10,0.008645,0.020689,347,290,0,0,"StRS"
2003,11,0.025936,0.013793,347,290,0,0,"StRS"
2003,12,0.023054,0.017241,347,290,0,0,"StRS"
2003,13,0.008645,0.017241,347,290,0,0,"StRS"
2003,14,0.008645,0.010344,347,290,0,0,"StRS"
2003,15,0.011527,0.010344,347,290,0,0,"StRS"
2003,17,0.014409,0.006896,347,290,0,0,"StRS"
2003,18,0.005763,0.003448,347,290,0,0,"StRS"
2003,19,0.008645,0.006896,347,290,0,0,"StRS"
2003,20,0.011527,0.010344,347,290,0,0,"StRS"
2003,21,0.008645,0.003448,347,290,0,0,"StRS"
2003,22,0.014409,0.006896,347,290,0,0,"StRS"
2003,23,0.008645,0.003448,347,290,0,0,"StRS"
2003,24,0.008645,0,347,290,0,0,"StRS"
2003,25,0.014409,0,347,290,0,0,"StRS"
2003,26,0.014409,0.006896,347,290,0,0,"StRS"
2003,27,0.011527,0.006896,347,290,0,0,"StRS"
2003,28,0.008645,0.006896,347,290,0,0,"StRS"
2003,29,0.014409,0.003448,347,290,0,0,"StRS"
2003,30,0.002881,0.006896,347,290,0,0,"StRS"
2003,31,0.005763,0,347,290,0,0,"StRS"
2003,32,0.014409,0.003448,347,290,0,0,"StRS"
2003,33,0.014409,0,347,290,0,0,"StRS"
2003,34,0.014409,0.003448,347,290,0,0,"StRS"
2003,35,0.224783,0.134482,347,290,0,0,"StRS"
2004,2,0.00346,0,289,353,0,0,"StRS"
2004,3,0.034602,0.011331,289,353,0,0,"StRS"
2004,4,0.096885,0.201133,289,353,0,1,"StRS"
2004,5,0.110726,0.135977,289,353,1,0,"StRS"
2004,6,0.089965,0.13881,289,353,0,0,"StRS"
2004,7,0.069204,0.070821,289,353,0,0,"StRS"
2004,8,0.041522,0.03966,289,353,0,0,"StRS"
2004,9,0.041522,0.082152,289,353,0,0,"StRS"
2004,10,0.031141,0.016997,289,353,0,0,"StRS"
2004,11,0.01038,0.033994,289,353,0,0,"StRS"
2004,12,0.024221,0.016997,289,353,0,0,"StRS"
2004,13,0.024221,0.01983,289,353,0,0,"StRS"
2004,14,0.020761,0.011331,289,353,0,0,"StRS"
2004,15,0.01038,0.014164,289,353,0,0,"StRS"
2004,16,0.024221,0.014164,289,353,0,0,"StRS"
2004,17,0.01038,0.002832,289,353,0,0,"StRS"
2004,18,0.00692,0.005665,289,353,0,0,"StRS"
2004,19,0.034602,0.008498,289,353,0,0,"StRS"
2004,20,0.01038,0,289,353,0,0,"StRS"
2004,21,0,0.008498,289,353,0,0,"StRS"
2004,22,0.01384,0.008498,289,353,0,0,"StRS"
2004,23,0.027681,0.002832,289,353,0,0,"StRS"
2004,24,0.024221,0.008498,289,353,0,0,"StRS"
2004,25,0.017301,0.014164,289,353,0,0,"StRS"
2004,26,0.027681,0.005665,289,353,0,0,"StRS"
2004,27,0.017301,0.008498,289,353,0,0,"StRS"
2004,28,0.01038,0.008498,289,353,0,0,"StRS"
2004,29,0.00346,0.005665,289,353,0,0,"StRS"
2004,30,0.00346,0.005665,289,353,0,0,"StRS"
2004,31,0.00346,0.008498,289,353,0,0,"StRS"
2004,32,0.01038,0.002832,289,353,0,0,"StRS"
2004,33,0.00346,0.002832,289,353,0,0,"StRS"
2004,34,0.01038,0.005665,289,353,0,0,"StRS"
2004,35,0.131487,0.07932,289,353,0,0,"StRS"
2005,2,0.003205,0,312,319,0,0,"StRS"
2005,3,0.025641,0.009404,312,319,0,0,"StRS"
2005,4,0.032051,0.062695,312,319,0,0,"StRS"
2005,5,0.13141,0.247648,312,319,1,1,"StRS"
2005,6,0.112179,0.112852,312,319,0,0,"StRS"
2005,7,0.105769,0.103448,312,319,0,0,"StRS"
2005,8,0.086538,0.040752,312,319,0,0,"StRS"
2005,9,0.044871,0.031347,312,319,0,0,"StRS"
2005,10,0.041666,0.047021,312,319,0,0,"StRS"
2005,11,0.025641,0.034482,312,319,0,0,"StRS"
2005,12,0.016025,0.012539,312,319,0,0,"StRS"
2005,13,0.003205,0.028213,312,319,0,0,"StRS"
2005,14,0.016025,0.018808,312,319,0,0,"StRS"
2005,15,0.003205,0.009404,312,319,0,0,"StRS"
2005,16,0.009615,0.003134,312,319,0,0,"StRS"
2005,17,0.022435,0.025078,312,319,0,0,"StRS"
2005,18,0.003205,0.018808,312,319,0,0,"StRS"
2005,19,0.009615,0.015673,312,319,0,0,"StRS"
2005,20,0.009615,0,312,319,0,0,"StRS"
2005,21,0.00641,0.003134,312,319,0,0,"StRS"
2005,22,0.01923,0.006269,312,319,0,0,"StRS"
2005,23,0.00641,0.012539,312,319,0,0,"StRS"
2005,24,0.01282,0.006269,312,319,0,0,"StRS"
2005,25,0.00641,0.009404,312,319,0,0,"StRS"
2005,26,0.009615,0.006269,312,319,0,0,"StRS"
2005,27,0.022435,0.009404,312,319,0,0,"StRS"
2005,28,0.009615,0.012539,312,319,0,0,"StRS"
2005,29,0.003205,0.006269,312,319,0,0,"StRS"
2005,30,0.009615,0,312,319,0,0,"StRS"
2005,32,0.003205,0.003134,312,319,0,0,"StRS"
2005,33,0.00641,0.003134,312,319,0,0,"StRS"
2005,35,0.182692,0.100313,312,319,0,0,"StRS"
2006,2,0,0.004201,261,238,0,0,"StRS"
2006,3,0.019157,0.021008,261,238,0,0,"StRS"
2006,4,0.030651,0.037815,261,238,0,0,"StRS"
2006,5,0.091954,0.105042,261,238,0,0,"StRS"
2006,6,0.134099,0.22689,261,238,1,1,"StRS"
2006,7,0.095785,0.168067,261,238,0,0,"StRS"
2006,8,0.068965,0.063025,261,238,0,0,"StRS"
2006,9,0.045977,0.079831,261,238,0,0,"StRS"
2006,10,0.026819,0.042016,261,238,0,0,"StRS"
2006,11,0.049808,0.02521,261,238,0,0,"StRS"
2006,12,0.034482,0.016806,261,238,0,0,"StRS"
2006,13,0.015325,0,261,238,0,0,"StRS"
2006,14,0.011494,0.012605,261,238,0,0,"StRS"
2006,15,0.007662,0.008403,261,238,0,0,"StRS"
2006,16,0.022988,0.008403,261,238,0,0,"StRS"
2006,17,0.003831,0.004201,261,238,0,0,"StRS"
2006,18,0.007662,0,261,238,0,0,"StRS"
2006,19,0.026819,0.012605,261,238,0,0,"StRS"
2006,20,0.015325,0.012605,261,238,0,0,"StRS"
2006,21,0.007662,0.016806,261,238,0,0,"StRS"
2006,22,0.007662,0.004201,261,238,0,0,"StRS"
2006,23,0.003831,0,261,238,0,0,"StRS"
2006,24,0.022988,0.029411,261,238,0,0,"StRS"
2006,25,0.007662,0.004201,261,238,0,0,"StRS"
2006,26,0.003831,0.004201,261,238,0,0,"StRS"
2006,27,0.011494,0,261,238,0,0,"StRS"
2006,28,0.007662,0,261,238,0,0,"StRS"
2006,29,0.019157,0.004201,261,238,0,0,"StRS"
2006,31,0.007662,0,261,238,0,0,"StRS"
2006,32,0.003831,0.008403,261,238,0,0,"StRS"
2006,33,0.015325,0.004201,261,238,0,0,"StRS"
2006,34,0.011494,0.008403,261,238,0,0,"StRS"
2006,35,0.160919,0.067226,261,238,0,0,"StRS"
2007,2,0.00303,0.003076,330,325,0,0,"StRS"
2007,3,0.00909,0.015384,330,325,0,0,"StRS"
2007,4,0.024242,0.043076,330,325,0,0,"StRS"
2007,5,0.033333,0.04,330,325,0,0,"StRS"
2007,6,0.081818,0.113846,330,325,0,0,"StRS"
2007,7,0.112121,0.224615,330,325,0,1,"StRS"
2007,8,0.124242,0.095384,330,325,1,0,"StRS"
2007,9,0.066666,0.08,330,325,0,0,"StRS"
2007,10,0.042424,0.033846,330,325,0,0,"StRS"
2007,11,0.045454,0.043076,330,325,0,0,"StRS"
2007,12,0.045454,0.018461,330,325,0,0,"StRS"
2007,13,0.027272,0.018461,330,325,0,0,"StRS"
2007,14,0.018181,0.012307,330,325,0,0,"StRS"
2007,15,0.012121,0.00923,330,325,0,0,"StRS"
2007,16,0.015151,0.015384,330,325,0,0,"StRS"
2007,17,0.00303,0.006153,330,325,0,0,"StRS"
2007,18,0.012121,0.006153,330,325,0,0,"StRS"
2007,19,0.012121,0.00923,330,325,0,0,"StRS"
2007,20,0.015151,0.006153,330,325,0,0,"StRS"
2007,21,0.012121,0,330,325,0,0,"StRS"
2007,22,0.012121,0.003076,330,325,0,0,"StRS"
2007,23,0.012121,0.003076,330,325,0,0,"StRS"
2007,24,0.021212,0.012307,330,325,0,0,"StRS"
2007,25,0.018181,0.015384,330,325,0,0,"StRS"
2007,26,0.012121,0.003076,330,325,0,0,"StRS"
2007,27,0.018181,0.00923,330,325,0,0,"StRS"
2007,28,0.018181,0.00923,330,325,0,0,"StRS"
2007,29,0.00909,0.006153,330,325,0,0,"StRS"
2007,30,0.00909,0.00923,330,325,0,0,"StRS"
2007,31,0.00303,0.012307,330,325,0,0,"StRS"
2007,32,0.00606,0.012307,330,325,0,0,"StRS"
2007,33,0.00606,0.006153,330,325,0,0,"StRS"
2007,34,0.00303,0.003076,330,325,0,0,"StRS"
2007,35,0.136363,0.101538,330,325,0,0,"StRS"
2008,4,0.009118,0.0175,329,400,0,0,"StRS"
2008,5,0.021276,0.035,329,400,0,0,"StRS"
2008,6,0.039513,0.03,329,400,0,0,"StRS"
2008,7,0.097264,0.0675,329,400,0,0,"StRS"
2008,8,0.170212,0.17,329,400,1,1,"StRS"
2008,9,0.085106,0.09,329,400,0,0,"StRS"
2008,10,0.051671,0.0675,329,400,0,0,"StRS"
2008,11,0.054711,0.0425,329,400,0,0,"StRS"
2008,12,0.033434,0.045,329,400,0,0,"StRS"
2008,13,0.024316,0.045,329,400,0,0,"StRS"
2008,14,0.024316,0.0275,329,400,0,0,"StRS"
2008,15,0.018237,0.0125,329,400,0,0,"StRS"
2008,16,0.012158,0.015,329,400,0,0,"StRS"
2008,17,0.009118,0.01,329,400,0,0,"StRS"
2008,18,0.030395,0.01,329,400,0,0,"StRS"
2008,19,0.018237,0.015,329,400,0,0,"StRS"
2008,20,0.003039,0.02,329,400,0,0,"StRS"
2008,21,0.012158,0.0075,329,400,0,0,"StRS"
2008,22,0.018237,0.0075,329,400,0,0,"StRS"
2008,23,0.009118,0.0075,329,400,0,0,"StRS"
2008,24,0.003039,0.0175,329,400,0,0,"StRS"
2008,25,0.027355,0.0125,329,400,0,0,"StRS"
2008,26,0.003039,0.0125,329,400,0,0,"StRS"
2008,27,0.015197,0.02,329,400,0,0,"StRS"
2008,28,0.015197,0.0075,329,400,0,0,"StRS"
2008,29,0.006079,0.015,329,400,0,0,"StRS"
2008,30,0.006079,0.005,329,400,0,0,"StRS"
2008,31,0.006079,0.015,329,400,0,0,"StRS"
