"TRIP_ID","VESSEL_ID","SUFFIX","CAPTAIN_ID","FISHING_EVENT_ID","FE_MAJOR_LEVEL_ID","SET_YEAR","SET_MONTH","SET_DAY","SET_TIME","DURATION_MINUTES","SABLE_DEPTH_GROUP","SABLE_AREA_GROUP","SABLE_SET_TYPE","GROUPING_CODE","REASON_CODE","FE_REASON_COMMENT","GEAR_CODE","NS_AREA","INSHORE_IND","SEAMOUNT_IND","MAJOR_STAT_AREA_CODE","MINOR_STAT_AREA_CODE","LOCALITY_CODE","FE_FISHING_Ground_COMMENT","START_LATITUDE","START_LONGITUDE","END_LATITUDE","END_LONGITUDE","FE_BEGINNING_BOTTOM_DEPTH","FE_END_BOTTOM_DEPTH","FE_MODAL_BOTTOM_DEPTH","TRAP_MODIFICATIONS_CODE","FE_USABILITY","CPUE_SABLE_WEIGHT","CPUE_SABLE_COUNT","CPUE_TRAPS","TOTAL_TRAPS","TOTAL_SABLE_COUNT","TOTAL_SABLE_WEIGHT","VERIFICATION_METHOD","FE_START_LATTITUDE_DEGREE","FE_START_LATTITUDE_MINUTE","FE_START_LONGITUDE_DEGREE","fe_start_longitude_minute","FE_END_LATTITUDE_DEGREE","fe_end_lattitude_minute","fe_end_longitude_degree","fe_end_longitude_minute","START_FATHOMS","END_FATHOMS","MODAL_DEPTH_FM","DepthStrataID","Nh","Wh","cpue","Proportion Males","Male Mean Fork Len(mm)","Female Mean Fork Len(mm)","Tagged Mean Fork Len(mm)"
52100,732,1,422,471157,6,2003,10,17,1611,1605,"RD1","S1","StRS",50,32,"Type 3 tagging",2,"SOUTH",0,0,3,23,10,,48.384,-126.013833,48.393166,-126.022166,367,259,321,4,1,1262.9,505,22,22,505,1262.9,1,48,23.04,126,0.83,48,23.59,126,1.33,201,142,176,"RD1",272,0.0503983694645173,57.4045454,0.5,589,627,608
52100,732,1,422,471158,7,2003,10,17,1748,1692,"RD2","S1","StRS",51,32,"Type 3 tagging",2,"SOUTH",0,0,3,23,10,,48.43,-126.255833,48.440333,-126.264833,768,771,773,4,1,183,100,25,25,100,183,1,48,25.8,126,15.35,48,26.42,126,15.89,420,422,423,"RD2",309,0.0572540300166759,7.32,0.57,545,569,535
52100,732,1,422,471159,8,2003,10,17,1941,1725,"RD1","S1","StRS",50,32,"Type 3 tagging",2,"SOUTH",0,0,3,23,12,,48.605,-126.158333,48.613333,-126.151666,224,181,230,4,1,811.3,342,25,25,342,811.3,1,48,36.3,126,9.5,48,36.8,126,9.1,122,99,126,"RD1",272,0.0503983694645173,32.452,0.19,573,607,598
52100,732,1,422,471160,9,2003,10,17,2033,1791,"RD1","S1","StRS",50,32,"Type 3 tagging",2,"SOUTH",0,0,3,23,12,,48.663,-126.231666,48.670833,-126.239,199,193,193,4,12,488.4,223,24,25,223,488.4,1,48,39.78,126,13.9,48,40.25,126,14.34,109,106,106,"RD1",272,0.0503983694645173,20.35,0.31,537,596,580
52100,732,1,422,471161,10,2003,10,18,134,2283,,"Father Charles Canyon","TRADITIONAL TAGGING",337,30,"Type 1 tagging",2,"SOUTH",0,0,3,23,12,"Father Charles Canyon",48.664333,-126.2705,48.659166,-126.315166,329,429,391,4,1,1666,1167,65,65,1167,1666,5,48,39.86,126,16.23,48,39.55,126,18.91,180,235,214,"RD1",,,25.6307692,0,0,0,685
52100,732,1,422,471162,11,2003,10,19,1020,3356,"RD3","S1","StRS",52,32,"Type 3 tagging",2,"SOUTH",0,0,3,24,6,,48.739666,-126.599333,48.745333,-126.6165,875,832,866,4,1,96.1,62,24,24,62,96.1,5,48,44.38,126,35.96,48,44.72,126,36.99,478,455,474,"RD3",506,0.0937557902538447,4.0041666,0.7,538,632,542
52100,732,1,422,471163,12,2003,10,19,1058,3212,"RD3","S1","StRS",52,32,"Type 3 tagging",2,"SOUTH",0,0,3,24,0,,48.749,-126.665833,48.7575,-126.654,1183,1058,1152,4,1,217.9,98,26,26,98,217.9,1,48,44.94,126,39.95,48,45.45,126,39.24,647,579,630,"RD3",506,0.0937557902538447,8.3807692,0.5,555,602,585
52100,732,1,422,471164,13,2003,10,19,120,3040,"RD3","S1","StRS",52,32,"Type 3 tagging",2,"SOUTH",0,0,3,24,6,,48.725666,-126.588666,48.737833,-126.585333,844,963,907,4,12,87.7,40,22,25,42,91.7,5,48,43.54,126,35.32,48,44.27,126,35.12,462,527,496,"RD3",506,0.0937557902538447,3.9863636,0.57,557,634,582
52100,732,1,422,471165,14,2003,10,19,1332,2812,"RD3","S1","StRS",52,32,"Type 3 tagging",2,"SOUTH",0,0,3,24,0,,48.637666,-126.6295,48.648666,-126.642,1333,1340,1338,4,12,20.6,5,23,26,6,25.4,1,48,38.26,126,37.77,48,38.92,126,38.52,729,733,732,"RD3",506,0.0937557902538447,0.8956521,0,0,747,647
52100,732,1,422,471166,15,2003,10,19,193,2311,"RD2","S1","StRS",51,32,"Type 3 tagging",2,"SOUTH",0,0,3,23,12,,48.5915,-126.360333,48.6015,-126.3575,790,766,771,4,1,147.9,76,25,25,76,147.9,1,48,35.49,126,21.62,48,36.09,126,21.45,432,419,422,"RD2",309,0.0572540300166759,5.916,0.64,541,616,551
52100,732,1,422,471167,16,2003,10,19,217,1970,"RD1","S1","StRS",50,32,"Type 3 tagging",2,"SOUTH",0,0,3,24,7,,48.831333,-126.510666,48.843333,-126.513333,215,212,212,4,1,805.3,383,24,24,383,805.3,1,48,49.88,126,30.64,48,50.6,126,30.8,118,116,116,"RD1",272,0.0503983694645173,33.5541666,0.54,561,608,576
52100,732,1,422,471168,17,2003,10,21,2045,1531,"RD2","S1","StRS",51,32,"Type 3 tagging",2,"SOUTH",0,0,3,24,7,,48.9215,-126.671,48.916833,-126.687833,555,521,532,4,1,1123.5,475,24,24,475,1123.5,1,48,55.29,126,40.26,48,55.01,126,41.27,303,285,291,"RD2",309,0.0572540300166759,46.8125,0.65,575,610,589
52100,732,1,422,471169,18,2003,10,21,2235,1590,"RD2","S1","StRS",51,32,"Type 3 tagging",2,"SOUTH",0,0,4,25,1,,49.0205,-126.9365,49.032166,-126.936833,669,623,645,4,1,662.7,314,25,25,314,662.7,1,49,1.23,126,56.19,49,1.93,126,56.21,366,341,353,"RD2",309,0.0572540300166759,26.508,0.68,555,581,564
52100,732,1,422,471170,19,2003,10,21,2330,971,,"Estevan Point","TRADITIONAL TAGGING",336,30,"Type 1 tagging",2,"SOUTH",0,0,4,25,1,"Estevan Point",49.060333,-126.928666,49.090166,-126.9265,488,396,433,4,1,2501.8,1707,62,62,1707,2501.8,5,49,3.62,126,55.72,49,5.41,126,55.59,267,217,237,"RD1",,,40.3516129,0,0,0,593
52100,732,1,422,471171,20,2003,10,22,919,1781,"RD3","S2","StRS",55,32,"Type 3 tagging",2,"SOUTH",0,0,4,26,0,,49.496333,-127.629,49.506666,-127.629833,1002,994,1022,4,12,279.9,110,22,24,115,293.2,1,49,29.78,127,37.74,49,30.4,127,37.79,548,544,559,"RD3",559,0.103576060774504,12.7227272,0.46,586,638,603
52100,732,1,422,471172,21,2003,10,22,1033,1547,"RD3","S2","StRS",55,32,"Type 3 tagging",2,"SOUTH",0,0,4,25,4,,49.472666,-127.488,49.466833,-127.468833,965,1060,1004,4,1,572.7,249,26,26,249,572.7,1,49,28.36,127,29.28,49,28.01,127,28.13,528,580,549,"RD3",559,0.103576060774504,22.026923,0.54,555,623,584
52100,732,1,422,471173,22,2003,10,22,1136,1352,"RD3","S2","StRS",55,32,"Type 3 tagging",2,"SOUTH",0,0,4,25,4,,49.445833,-127.352,49.441166,-127.3375,950,918,894,4,1,525.2,233,25,25,233,525.2,1,49,26.75,127,21.12,49,26.47,127,20.25,519,502,489,"RD3",559,0.103576060774504,21.008,0.7,563,642,581
52100,732,1,422,471174,23,2003,10,23,751,1308,"RD1","S2","StRS",53,32,"Type 3 tagging",2,"SOUTH",0,0,4,25,2,,49.335,-127.178166,49.330166,-127.192833,213,267,237,4,1,1472.7,324,24,24,324,1472.7,5,49,20.1,127,10.69,49,19.81,127,11.57,116,146,130,"RD1",244,0.0452103020196405,61.3625,0.05,606,723,708
52100,732,1,422,471175,24,2003,10,23,852,1354,"RD2","S2","StRS",54,32,"Type 3 tagging",2,"SOUTH",0,0,4,25,4,,49.3855,-127.284333,49.396,-127.296166,543,559,546,4,1,2303.1,982,26,26,982,2303.1,1,49,23.13,127,17.06,49,23.76,127,17.77,297,306,299,"RD2",313,0.0579951825088012,88.5807692,0.81,582,612,590
52100,732,1,422,471176,25,2003,10,23,1719,1134,,"Esperanza Inlet","TRADITIONAL TAGGING",369,30,"Type 1 tagging",2,"SOUTH",0,0,4,26,8,"Esperanza Inlet",49.567,-127.524166,49.593333,-127.5435,636,594,537,4,1,954.2,657,65,65,657,954.2,5,49,34.02,127,31.45,49,35.6,127,32.61,348,325,294,"RD2",,,14.68,0,0,0,622
52100,732,1,422,471177,26,2003,10,23,1826,1235,"RD2","S2","StRS",54,32,"Type 3 tagging",2,"SOUTH",0,0,4,26,8,,49.681666,-127.57,49.693333,-127.56,555,491,524,4,1,1090.1,427,25,25,427,1090.1,1,49,40.9,127,34.2,49,41.6,127,33.6,303,268,287,"RD2",313,0.0579951825088012,43.604,0.73,594,632,591
