"TRIP_ID","SET_NUM","year","SABLE.DEPTH.GROUP","Spatial.Stratum","SABLE.SET.TYPE","TOTAL.TRAPS","CPUE.TRAPS","TOTAL.SABLE.COUNT","CPUE.SABLE.COUNT","FE_USABILITY","CPUE.SABLE.WEIGHT","TOTAL_SABLE_WEIGHT","FE_MAJOR_LEVEL_ID","FE.MODAL.BOTTOM.DEPTH"
43990,269224,1988,,"Cape St. James","OFFSHORE STANDARDIZED-EXTRA BAIT",90,90,1150,1150,1,4360,4360,1,446
43990,269225,1988,,"Cape St. James","OFFSHORE STANDARDIZED-EXTRA BAIT",100,100,1819,1819,1,5518,5518,2,588
43990,269226,1988,,"Cape St. James","OFFSHORE STANDARDIZED-EXTRA BAIT",100,100,1430,1430,1,5574,5574,3,572
43990,269227,1988,,"Triangle Island","OFFSHORE STANDARDIZED-EXTRA BAIT",90,90,1435,1435,1,4866,4866,4,511
43990,269228,1988,,"Triangle Island","OFFSHORE STANDARDIZED-EXTRA BAIT",102,102,1889,1889,1,6210,6210,5,472
43990,269229,1988,,"Quatsino Sound","OFFSHORE STANDARDIZED-EXTRA BAIT",100,100,1724,1724,1,5439,5439,6,735
43990,269230,1988,,"Quatsino Sound","OFFSHORE STANDARDIZED-EXTRA BAIT",90,90,1403,1403,1,5005,5005,7,433
43990,269231,1988,,"Esperanza Inlet","OFFSHORE STANDARDIZED-EXTRA BAIT",101,101,1351,1351,1,2636,2636,8,505
43990,269232,1988,,"Esperanza Inlet","OFFSHORE STANDARDIZED-EXTRA BAIT",106,106,1148,1148,1,2150,2150,9,681
43990,269233,1988,,"Esperanza Inlet","OFFSHORE STANDARDIZED-EXTRA BAIT",84,84,1263,1263,1,1846,1846,10,823
43990,269234,1988,,"Barkley Canyon","OFFSHORE STANDARDIZED-EXTRA BAIT",90,90,1128,1128,1,2427,2427,11,833
43990,269235,1988,,"Barkley Canyon","OFFSHORE STANDARDIZED-EXTRA BAIT",102,102,1700,1700,1,3788,3788,12,771
43990,269236,1988,,"Barkley Canyon","OFFSHORE STANDARDIZED-EXTRA BAIT",100,100,877,877,1,2256,2256,13,577
43990,269237,1988,,"Barkley Canyon","OFFSHORE STANDARDIZED-EXTRA BAIT",97,97,2828,2828,1,3316,3316,14,465
43990,269238,1988,,"Barkley Canyon","OFFSHORE STANDARDIZED-EXTRA BAIT",112,112,2113,2113,1,4462,4462,15,577
43990,269239,1988,,"Barkley Canyon","OFFSHORE STANDARDIZED-EXTRA BAIT",102,102,1795,1795,1,3890,3890,16,537
43910,269104,1989,,"Quatsino Sound","OFFSHORE STANDARDIZED-EXTRA BAIT",61,61,259,259,1,900,900,1,436
