"locality","depth","PropMales","PropFemales","MalesMnFkLen","FemalesMnFkLen","TaggedMnFkLen"
"S1","RD1       ",0.34,0.66,544,589,563
"S1","RD2       ",0.64,0.36,516,552,528
"S1","RD3       ",0.32,0.68,549,612,601
"S2","RD1       ",0.28,0.72,576,611,595
"S2","RD2       ",0.63,0.37,547,606,562
"S2","RD3       ",0.44,0.56,559,639,604
"S3","RD1       ",0.33,0.67,577,627,607
"S3","RD2       ",0.5,0.5,548,588,569
"S3","RD3       ",0.45,0.55,584,662,603
"S4","RD1       ",0.21,0.79,607,634,623
"S4","RD2       ",0.5,0.5,529,562,552
"S4","RD3       ",0.46,0.54,570,646,615
"S5","RD1       ",0.21,0.79,562,617,587
"S5","RD2       ",0.58,0.42,541,583,553
"S5","RD3       ",0.63,0.37,573,627,581
