"Year","latitude","depth","avgtemp","MinTemp","MaxTemp"
2006,48.5,"Deep",3.69905,0,1
2006,48.5,"Mid",5.240584,0,1
2006,48.5,"Shallow",7.029974,0,1
2006,49.5,"Deep",3.445487,0,0
2006,49.5,"Mid",4.633617,0,0
2006,49.5,"Shallow",6.936227,0,0
2006,50.5,"Deep",3.414201,0,0
2006,50.5,"Mid",4.605763,0,0
2006,50.5,"Shallow",6.898637,0,0
2006,51.5,"Deep",3.522537,0,0
2006,51.5,"Mid",4.56824,0,0
2006,51.5,"Shallow",6.11804,0,0
2006,52.5,"Deep",3.241679,1,0
2006,52.5,"Mid",4.251457,0,0
2006,52.5,"Shallow",6.215932,0,0
2006,53.5,"Deep",3.340999,0,0
2006,53.5,"Mid",4.087188,1,0
2006,53.5,"Shallow",6.189227,0,0
2006,54.5,"Mid",4.52513,0,0
2006,54.5,"Shallow",5.540782,1,0
2007,48.5,"Deep",3.06388,0,0
2007,48.5,"Mid",5.223831,0,1
2007,48.5,"Shallow",6.071796,0,0
2007,49.5,"Deep",3.681096,0,1
2007,49.5,"Mid",4.941369,0,0
2007,49.5,"Shallow",6.023397,0,0
2007,50.5,"Deep",3.083411,0,0
2007,50.5,"Mid",4.726679,0,0
2007,50.5,"Shallow",6.447962,0,1
2007,51.5,"Deep",3.096875,0,0
2007,51.5,"Mid",4.259976,0,0
2007,51.5,"Shallow",5.580224,0,0
2007,52.5,"Deep",3.026957,0,0
2007,52.5,"Mid",4.030961,1,0
2007,52.5,"Shallow",5.292994,0,0
2007,53.5,"Deep",2.991143,1,0
2007,53.5,"Mid",4.099668,0,0
2007,53.5,"Shallow",5.205659,0,0
2007,54.5,"Deep",3.055892,0,0
2007,54.5,"Mid",4.323275,0,0
2007,54.5,"Shallow",5.141537,1,0
2008,48.5,"Deep",3.233023,0,0
2008,48.5,"Mid",5.157836,0,1
2008,48.5,"Shallow",6.589075,0,0
2008,49.5,"Deep",2.909072,1,0
2008,49.5,"Mid",4.628036,0,0
2008,49.5,"Shallow",6.803368,0,1
2008,50.5,"Deep",3.188517,0,0
2008,50.5,"Mid",4.647851,0,0
2008,50.5,"Shallow",6.415409,0,0
2008,51.5,"Deep",3.133754,0,0
2008,51.5,"Mid",4.28172,0,0
2008,51.5,"Shallow",5.805746,0,0
2008,52.5,"Deep",3.348892,0,1
2008,52.5,"Mid",4.176126,1,0
2008,52.5,"Shallow",5.4368,0,0
2008,53.5,"Deep",3.238905,0,0
2008,53.5,"Mid",4.506929,0,0
2008,53.5,"Shallow",5.906461,0,0
2008,54.5,"Deep",3.062959,0,0
2008,54.5,"Mid",4.456821,0,0
2008,54.5,"Shallow",5.04967,1,0
2009,48.5,"Deep",3.296332,0,0
2009,48.5,"Mid",4.74768,0,1
2009,48.5,"Shallow",5.933474,0,0
2009,49.5,"Deep",3.367641,0,0
2009,49.5,"Mid",4.699187,0,0
2009,49.5,"Shallow",6.008572,0,0
2009,50.5,"Deep",3.723572,0,1
2009,50.5,"Mid",4.533298,0,0
2009,50.5,"Shallow",6.844443,0,1
2009,51.5,"Deep",3.223819,0,0
2009,51.5,"Mid",4.365431,1,0
2009,51.5,"Shallow",5.962106,0,0
2009,52.5,"Deep",3.177394,0,0
2009,52.5,"Mid",4.463586,0,0
2009,52.5,"Shallow",5.726845,0,0
2009,53.5,"Deep",3.2661,0,0
2009,53.5,"Mid",4.556085,0,0
2009,53.5,"Shallow",5.689381,0,0
2009,54.5,"Deep",3.094961,1,0
2009,54.5,"Mid",4.68897,0,0
2009,54.5,"Shallow",5.679213,1,0
2010,48.5,"Deep",3.325287,0,0
