TAG_ID,date1,EVENT_YEAR,EVENT_DESCRIPTION,EVENT_NUMBER,EVENT_TRIP,RECOVERY_STATE_DESC,Length,TAG_NUMBER,PREVIOUS_TAG_NUMBER,FISH_EVENT_NUMBER,EVENT_SET,RECAPTURE_FISH_ID,Distance,days
262410,10/15/2002,2002,RELEASE,1,48110,,595,A00550705,,1,29,2506,,
589700,10/18/2016,2016,RECOVERY,1,80471,"LIVE, RE-RELEASED",590,A00550705,,1,29,2506,,
58564,10/20/2016,2016,RELEASE,2,80471,,590,A00545713,A00550705,2,29,3000,6.9,5117
589340,10/20/2020,2020,RECOVERY,2,85690,"LIVE, RE-RELEASED",590,A00545713,,1,32,3000,,
191199,10/20/2020,2020,RELEASE,3,85690,,590,A00125680,A00545713,2,32,3000,0.9,1463
522818,10/26/2015,2015,RELEASE,1,77830,,535,A00315966,,1,51,2778,,
584757,11/1/2018,2018,RECOVERY,1,84250,"LIVE, RE-RELEASED",535,A00315966,,0,62,2778,,
111160,11/1/2018,2018,RELEASE,2,84250,,525,A00984002,A00315966,2,62,3038,1.6,1102
606389,10/25/2020,2020,RECOVERY,2,85690,"LIVE, RE-RELEASED",525,A00984002,,1,49,3038,,
196261,10/25/2020,2020,RELEASE,3,85690,,544,A00866014,A00984002,2,49,3038,4.7,724
370226,10/21/2004,2004,RELEASE,1,58145,,549,A00733036,,1,33,1354,,
596977,10/27/2009,2009,RECOVERY,1,69067,"LIVE, RE-RELEASED",575,A00733036,,1,64,1354,,
70873,10/28/2009,2009,RELEASE,2,69067,,575,A00254854,A00733036,2,64,2974,124.1,1832
580649,10/25/2020,2020,RECOVERY,2,85690,"LIVE, RE-RELEASED",575,A00254854,,1,45,2974,,
332279,10/25/2020,2020,RELEASE,3,85690,,619,A00493546,A00254854,2,45,2974,12.7,4016
