"YEAR","BEST_YEAR","FISHERY_SECTOR","GEAR","Expr1","Expr2","Expr3","Expr4","Expr5","Expr6","Expr7","Expr8","Expr9","Expr10","Expr11"
2015,2015,"SABLEFISH","TRAP",1123374.3,0,108,0,122019,12481.2,1234.8,3999,5475,1123482.3,145209
2015,2015,"GROUNDFISH TRAWL","TRAWL",132928.8,0,0,1412,155127.2,50829.2,12270,0,0,134340.8,218226.4
2015,2015,"HALIBUT AND SABLEFISH","TRAP",54039.1,0,0,0,2533.5,0,0,358.5,0,54039.1,2892
2015,2015,"SABLEFISH","LONGLINE",486682.2,0,0,0,55663.5,1295,229,645,3555,486682.2,61387.5
2015,2015,"HALIBUT","LONGLINE",159935.7,9,1098,0,14128.5,7610.9,1347.1,627,903,161042.7,24616.5
2015,2015,"ROCKFISH INSIDE","LONGLINE",0,0,0,0,322.5,12.7,2.3,4.5,0,0,342
2015,2015,"HALIBUT AND SABLEFISH","LONGLINE",631998.1,0,9,0,52537.5,345.6,62.4,772.5,5064,632007.1,58782
2015,2015,"LINGCOD","LONGLINE",0,0,0,0,24,73.8,13.2,0,0,0,111
2015,2015,"ROCKFISH OUTSIDE","LONGLINE",49548,0,0,0,5674.5,231.6,41.4,273,477,49548,6697.5
2015,2015,"SPINY DOGFISH","LONGLINE",966.4,0,0,0,919.5,5,1,1.5,0,966.4,927
